Time (sec);Toe;MTP;Heel;Ankle;knee;Hip
0;-1,088873615;-1,104233282;-1,066837765;-1,005127467;-0,561531631;-0,114731299
16;-1,0888394;-1,104243926;-1,066923055;-1,005168026;-0,561603012;-0,114806304
33;-1,088805094;-1,104254619;-1,067003348;-1,00520645;-0,561670796;-0,11487958
50;-1,088770601;-1,104264493;-1,067079209;-1,005313052;-0,561739902;-0,114952832
66;-1,088736971;-1,104274272;-1,067151798;-1,005597097;-0,561811394;-0,115026118
83;-1,088706134;-1,104284214;-1,067222374;-1,006014785;-0,561884678;-0,115098811
100;-1,088677444;-1,104294088;-1,067292067;-1,00624022;-0,561958671;-0,11517032
116;-1,088641744;-1,104303782;-1,067361825;-1,006066186;-0,562032422;-0,115240513
133;-1,088580497;-1,104313528;-1,067432474;-1,005760448;-0,562105426;-0,11530972
150;-1,088488755;-1,104323363;-1,067504773;-1,00565633;-0,562177718;-0,115378368
167;-1,088435914;-1,104332863;-1,067579372;-1,005708155;-0,562249724;-0,11544664
183;-1,088612826;-1,104341846;-1,067656626;-1,005599095;-0,562321831;-0,115514432
200;-1,089177585;-1,104350647;-1,0677362;-1,005088725;-0,562394012;-0,115581648
217;-1,089951822;-1,10435973;-1,067816498;-1,004326281;-0,562465885;-0,115648767
233;-1,090517374;-1,104369346;-1,067894017;-1,003736731;-0,562537105;-0,115717688
250;-1,090694792;-1,104379204;-1,067962755;-1,003575087;-0,562607802;-0,115792473
267;-1,090640366;-1,104388744;-1,068013974;-1,003865415;-0,562678859;-0,115878706
283;-1,090543535;-1,104398004;-1,068036787;-1,004554203;-0,562751384;-0,115979201
300;-1,090475219;-1,10440737;-1,068020328;-1,005379808;-0,562824801;-0,116084116
317;-1,090439156;-1,104416513;-1,067958331;-1,00593098;-0,562894238;-0,116156743
333;-1,090431736;-1,10442483;-1,067856945;-1,006050159;-0,562950199;-0,116124159
350;-1,090441475;-1,104432357;-1,067746089;-1,0059118;-0,56298652;-0,115894841
367;-1,090394141;-1,104438458;-1,067681992;-1,005779577;-0,563022126;-0,115437215
383;-1,090114886;-1,104440021;-1,067715605;-1,005911699;-0,563132046;-0,114869788
400;-1,089478811;-1,10443283;-1,067845698;-1,006460155;-0,563450043;-0,114401357
417;-1,088681428;-1,104416229;-1,06802035;-1,00722882;-0,564036644;-0,114150056
433;-1,088120596;-1,10439557;-1,068185082;-1,0077922;-0,564673018;-0,114084298
450;-1,087945852;-1,104373738;-1,068313216;-1,007971987;-0,564983587;-0,114113396
467;-1,087993737;-1,104332761;-1,068401819;-1,007927888;-0,564940888;-0,114165891
483;-1,088072587;-1,104236516;-1,068459594;-1,007851053;-0,565039305;-0,114206393
500;-1,088052401;-1,104114544;-1,06849895;-1,007809504;-0,565693407;-0,114224876
517;-1,087775624;-1,104203203;-1,068531572;-1,007796231;-0,566658115;-0,114221024
534;-1,0871443;-1,104779774;-1,068566311;-1,00779066;-0,567371259;-0,114194241
550;-1,086368443;-1,105644301;-1,068608374;-1,007782;-0,567613978;-0,114141963
567;-1,085848978;-1,106216866;-1,068659049;-1,007770635;-0,567560178;-0,114066132
584;-1,085727094;-1,106296895;-1,06871545;-1,007766634;-0,567482712;-0,113987854
600;-1,085817801;-1,106161235;-1,068770049;-1,007785484;-0,567628229;-0,113968107
617;-1,08591512;-1,106045316;-1,068810058;-1,007824777;-0,568174903;-0,114121561
634;-1,085954215;-1,105978076;-1,068817226;-1,00781201;-0,569157838;-0,114589708
650;-1,086009731;-1,105923988;-1,068768993;-1,007572578;-0,570516141;-0,115492847
667;-1,086267685;-1,105864454;-1,06864201;-1,006982554;-0,572165777;-0,116942352
684;-1,086853732;-1,105799803;-1,06841888;-1,006229365;-0,573947985;-0,11903953
700;-1,087582053;-1,105734793;-1,068098994;-1,005646763;-0,575764375;-0,121799343
717;-1,088129942;-1,105672802;-1,067703658;-1,005213195;-0,5778252;-0,125193656
734;-1,088528986;-1,105616042;-1,067255069;-1,004628546;-0,580456057;-0,129303611
750;-1,08907715;-1,105565611;-1,066741107;-1,003904719;-0,583715603;-0,134338533
767;-1,089771337;-1,105521786;-1,066108665;-1,003390288;-0,587413801;-0,140552317
784;-1,090329517;-1,105486582;-1,065284206;-1,003210179;-0,591433127;-0,148190874
800;-1,090744063;-1,105463505;-1,06418096;-1,003075208;-0,595966631;-0,157410506
817;-1,091286978;-1,105452696;-1,062700562;-1,002642099;-0,601287796;-0,168118548
834;-1,0920062;-1,105449193;-1,060769792;-1,00180482;-0,607320877;-0,179918019
851;-1,092748866;-1,105445979;-1,058396178;-1,000505839;-0,613662914;-0,192300877
867;-1,093564666;-1,105435585;-1,055702103;-0,998484353;-0,619793876;-0,20488081
884;-1,094595451;-1,105410491;-1,052934796;-0,995589665;-0,625314504;-0,217429182
901;-1,095759598;-1,105366889;-1,050439814;-0,992295517;-0,630369723;-0,229770143
917;-1,096786313;-1,105309436;-1,048578362;-0,989661913;-0,635625836;-0,241694836
934;-1,097422913;-1,105252072;-1,04762047;-0,988699338;-0,641637149;-0,252933878
951;-1,097591009;-1,10521418;-1,047657837;-0,989608213;-0,64838204;-0,263068999
967;-1,097310057;-1,105211462;-1,048554211;-0,991557178;-0,655245175;-0,271388537
984;-1,096652812;-1,105244593;-1,04996279;-0,993345253;-0,661136435;-0,276952293
1001;-1,096019134;-1,105298136;-1,051429727;-0,994284223;-0,664773166;-0,278876395
1017;-1,096016886;-1,105355414;-1,052525181;-0,994359979;-0,665274389;-0,276524977
1034;-1,096804634;-1,105418273;-1,052897493;-0,993795406;-0,66252539;-0,269564437
1051;-1,097958821;-1,10550996;-1,052217821;-0,992730219;-0,65677048;-0,257970977
1067;-1,098924396;-1,105619422;-1,050092531;-0,991138202;-0,648019636;-0,241874223
1084;-1,099374357;-1,105574365;-1,046018574;-0,988775542;-0,635873013;-0,221293291
1101;-1,099460959;-1,105073048;-1,03938315;-0,984990115;-0,619516371;-0,196140166
1117;-1,099826712;-1,103917773;-1,029516275;-0,978518136;-0,598043484;-0,166631588
1134;-1,101058803;-1,10164347;-1,015830765;-0,967658234;-0,571214288;-0,133672606
1151;-1,102402328;-1,096470811;-0,998015466;-0,950671815;-0,539904541;-0,098769957
1168;-1,100101385;-1,085166069;-0,976149421;-0,926632035;-0,505925278;-0,063616254
1184;-1,088224693;-1,064971255;-0,950529401;-0,896833849;-0,471452457;-0,029696204
1201;-1,064193803;-1,036723576;-0,921474861;-0,864700742;-0,438417418;0,001918935
1218;-1,032781481;-1,005299316;-0,889798475;-0,833388019;-0,408126047;0,030583128
1234;-1,00162044;-0,975473387;-0,857311892;-0,804155344;-0,381030735;0,056012717
1251;-0,974666052;-0,948788699;-0,826232588;-0,777174649;-0,356943744;0,078210704
1268;-0,951977763;-0,92505324;-0,798266869;-0,752804478;-0,335710602;0,097328038
1284;-0,932558138;-0,904165026;-0,77440057;-0,731763434;-0,317441251;0,113499395
1301;-0,91556736;-0,886157621;-0,755078371;-0,714489675;-0,302153122;0,126836687
1318;-0,90066747;-0,871335765;-0,740366088;-0,700843443;-0,289599327;0,137575573
1334;-0,888248685;-0,860188631;-0,730076112;-0,690662382;-0,279530833;0,146049514
1351;-0,878901175;-0,852652488;-0,723868875;-0,684068479;-0,272021422;0,152454926
1368;-0,872764446;-0,848240217;-0,721330652;-0,681019632;-0,26746729;0,156745145
1384;-0,869888002;-0,846957104;-0,722040945;-0,6811396;-0,266174731;0,158723747
1401;-0,870687112;-0,849124006;-0,725637587;-0,684054765;-0,267976971;0,158184894
1418;-0,875432257;-0,854472357;-0,731865805;-0,689539551;-0,27241495;0,155016815
1434;-0,88384341;-0,862465206;-0,740614834;-0,697521695;-0,279209966;0,149202043
1451;-0,895424444;-0,873171243;-0,751937233;-0,708112141;-0,288435763;0,140777035
1468;-0,909883275;-0,88706331;-0,766015084;-0,721492257;-0,300313034;0,129847033
1485;-0,927375276;-0,904405807;-0,783083432;-0,737819312;-0,314863144;0,116560686
1501;-0,948383281;-0,925129017;-0,803366716;-0,757157731;-0,331888483;0,101002101
1518;-0,973348621;-0,948925371;-0,827022467;-0,779469185;-0,351433262;0,083103068
1535;-1,002588201;-0,975624736;-0,854043417;-0,804815272;-0,373967973;0,062625827
1551;-1,035715759;-1,005784683;-0,884120268;-0,833373197;-0,399930807;0,039251822
1568;-1,069398449;-1,039543168;-0,916503645;-0,865127076;-0,429376732;0,012799497
1585;-1,096459248;-1,07333185;-0,949883807;-0,89944889;-0,461944422;-0,016543224
1601;-1,110804214;-1,099988035;-0,982352302;-0,934390092;-0,496563117;-0,048083356
1618;-1,113301186;-1,114851694;-1,011637891;-0,966356084;-0,531190222;-0,080570162
1635;-1,110077045;-1,119797746;-1,03567971;-0,991276177;-0,56324048;-0,112317414
1651;-1,106606475;-1,12002219;-1,053256211;-1,006370202;-0,590199431;-0,141619067
1668;-1,105268452;-1,119350765;-1,064336292;-1,011381157;-0,610097948;-0,16719948
1685;-1,105958864;-1,119072114;-1,069997188;-1,009321584;-0,622594948;-0,188362205
1701;-1,107183377;-1,119115396;-1,071941356;-1,005465114;-0,629811755;-0,204950657
1718;-1,107576602;-1,119180679;-1,071860215;-1,003984332;-0,635026574;-0,217278119
1735;-1,107052371;-1,118987684;-1,07097687;-1,005385715;-0,640223115;-0,225908252
1751;-1,106379682;-1,11833231;-1,069956624;-1,007607345;-0,64509773;-0,231327718
1768;-1,106067694;-1,117458639;-1,069089201;-1,008943443;-0,648143277;-0,233746773
1785;-1,106061513;-1,116921388;-1,068487638;-1,009251247;-0,648392186;-0,233194353
1801;-1,106086407;-1,116877998;-1,068192132;-1,009127319;-0,646083404;-0,229837781
1818;-1,105864569;-1,117036345;-1,06820999;-1,008997383;-0,641993321;-0,224129367
1835;-1,105255671;-1,117165574;-1,068508676;-1,008962244;-0,636665808;-0,216594401
1852;-1,104467685;-1,117240039;-1,068994319;-1,00898788;-0,630328822;-0,207608788
1868;-1,103907532;-1,117292024;-1,069523937;-1,009044348;-0,623204334;-0,197455641
1885;-1,103721323;-1,117336163;-1,069948857;-1,009118645;-0,615672323;-0,186501594
1902;-1,103734306;-1,117372319;-1,070155708;-1,009148932;-0,608063462;-0,175218294
1918;-1,103761075;-1,117398192;-1,070081315;-1,008969321;-0,600473043;-0,16408077
1935;-1,103746039;-1,117411514;-1,069709285;-1,008436016;-0,593010632;-0,153494827
1952;-1,103704824;-1,117409843;-1,06907548;-1,007658939;-0,586016402;-0,143742416
1968;-1,103660768;-1,117392705;-1,068282864;-1,006850578;-0,579808466;-0,13496414
1985;-1,103625757;-1,117363579;-1,067489137;-1,006008124;-0,574403198;-0,127251818
2002;-1,10360785;-1,1173281;-1,066850181;-1,005139885;-0,569646175;-0,120750639
2018;-1,103618558;-1,117290593;-1,066465995;-1,00453687;-0,565610271;-0,115623948
2035;-1,103653711;-1,117254284;-1,066373693;-1,004549642;-0,562698506;-0,11196474
2052;-1,103637922;-1,117223437;-1,066567425;-1,005358766;-0,561175417;-0,109740328
2068;-1,103388948;-1,117202203;-1,067008199;-1,006821324;-0,560803106;-0,108734519
2085;-1,10277376;-1,11719089;-1,067623964;-1,00845203;-0,561133668;-0,108589723
2102;-1,101986216;-1,117183277;-1,06832469;-1,009820033;-0,561848062;-0,108972704
2118;-1,101427889;-1,117168369;-1,069025926;-1,010817252;-0,562652084;-0,109642166
2135;-1,10124827;-1,117140746;-1,069653959;-1,011569905;-0,563229708;-0,110366773
2152;-1,101280438;-1,1171166;-1,070150023;-1,012304696;-0,56346619;-0,110923219
2169;-1,101348932;-1,117128313;-1,070489542;-1,013051324;-0,563482811;-0,111215591
2185;-1,101392212;-1,11714575;-1,070686934;-1,013560861;-0,563435263;-0,111298068
2202;-1,10135367;-1,116951704;-1,070777772;-1,013709058;-0,563399673;-0,11127339
2219;-1,101081723;-1,116309415;-1,070800823;-1,013648203;-0,563389513;-0,111217073
2235;-1,100459433;-1,115440436;-1,070788879;-1,013554675;-0,563394317;-0,111165782
2252;-1,099683053;-1,114901866;-1,07076545;-1,013492474;-0,563401793;-0,111130255
2269;-1,0991521;-1,114873296;-1,07074485;-1,013457865;-0,563406176;-0,111109839
2285;-1,099013811;-1,115096081;-1,070733947;-1,013434692;-0,56340942;-0,111101335
2302;-1,099093733;-1,115307559;-1,070734492;-1,01341483;-0,563414287;-0,111102225
2319;-1,099200315;-1,11524849;-1,070745298;-1,013396798;-0,563414154;-0,111110272
2335;-1,09926877;-1,114680682;-1,070763891;-1,013380601;-0,563392052;-0,111122212
2352;-1,099308251;-1,113824512;-1,070787575;-1,013365823;-0,563334438;-0,11113394
2369;-1,099339459;-1,113261418;-1,070814007;-1,013351884;-0,56325819;-0,111142639
2385;-1,099371565;-1,113190014;-1,070841413;-1,013338358;-0,56324637;-0,111148491
2402;-1,099404058;-1,113333263;-1,070868574;-1,013324875;-0,563454901;-0,111153903
2419;-1,099436073;-1,113456154;-1,070894698;-1,013310913;-0,563983745;-0,111161472
2435;-1,099475894;-1,113530214;-1,070919255;-1,013296128;-0,564674693;-0,111172683
2452;-1,099542719;-1,113591586;-1,070941873;-1,013280934;-0,56519806;-0,11118764
2469;-1,099642852;-1,113659124;-1,070962342;-1,01326623;-0,565397377;-0,111205645
2485;-1,099707707;-1,113732341;-1,070980689;-1,013252425;-0,565374102;-0,11122618
2502;-1,099546599;-1,113806967;-1,070997205;-1,013239096;-0,565282447;-0,11124897
2519;-1,099001665;-1,113881732;-1,071012356;-1,013225592;-0,565200678;-0,111273001
2536;-1,098251529;-1,113957521;-1,071026646;-1,013211672;-0,565142831;-0,111296355
2552;-1,097714122;-1,114034967;-1,071040535;-1,013197555;-0,565099797;-0,111317484
2569;-1,097567727;-1,114113855;-1,071054393;-1,013183579;-0,565064241;-0,111337752
2586;-1,097653587;-1,114193863;-1,07106847;-1,013169895;-0,565035544;-0,11136617
2602;-1,0977796;-1,114274958;-1,071082891;-1,013156478;-0,565014301;-0,111423966
2619;-1,097875559;-1,114357193;-1,071097676;-1,013143287;-0,564997988;-0,111540853
2636;-1,097946355;-1,114440382;-1,071112765;-1,013130313;-0,564982946;-0,111731863
2652;-1,098010581;-1,114524046;-1,071128035;-1,013117536;-0,564967549;-0,111946281
2669;-1,098077321;-1,114607901;-1,071143349;-1,013104907;-0,56495189;-0,112069168
2686;-1,09814717;-1,114692347;-1,071158586;-1,013092363;-0,564936217;-0,112071668
2702;-1,09821818;-1,114778232;-1,071173665;-1,013079833;-0,56492064;-0,112104532
2719;-1,098289854;-1,114866272;-1,071188537;-1,013067273;-0,564905889;-0,112310167
2736;-1,098364518;-1,114956931;-1,071203158;-1,013054738;-0,564893923;-0,112627641
2752;-1,098445578;-1,115050349;-1,0712175;-1,013042354;-0,564887621;-0,112928894
2769;-1,098533969;-1,115145913;-1,071231582;-1,013030135;-0,564889723;-0,113246058
2786;-1,098626901;-1,115242504;-1,071245493;-1,013017881;-0,564901804;-0,113654873
